person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Bianca Popescu,biancapopescu,biancapopescu@zzup.ro,4421201108050,1985-08-28,"Drumul Preda, Borcea, 660620",0738 825 738,ac:cf:94:a8:3c:c1,98.56.234.50,RO39PESY6070295602321774,2025-07-01 22:34:47,3071,765,721,1716567,95470e84-e738-4e5a-bd3a-afe4fb2c27e0
Noemi Toma,noemitoma,noemitoma@gmail.com,6091127040068,1916-10-20,"Bulevardul Livia Ionescu Nr. 67, Modelu, 617581",0262 998 849,9c:52:17:47:39:92,157.253.118.23,RO89IHXD6705996084404152,2025-07-01 22:34:47,14028,947,339,23264,b2e00fdc-a560-44d6-8a67-72ddbb032cd9
Ariadna Oprea,ariadnaoprea,ariadnaoprea@gmail.com,3990716042197,2022-07-28,"Strada Dima Nr. 86 Bl. 51  Sc. 52 Ap. 199, Matca, 381176",0788 078 939,ba:3c:e9:8e:30:25,173.79.118.212,RO47NQFZ3512469419667947,2025-07-01 22:34:47,22154,328,687,1460549,cf47af2e-fc7d-4823-b58a-21cd4fbd047a
Mitruț Dumitrescu,mitruțdumitrescu,mitruțdumitrescu@email.ro,4480108361193,1910-01-14,"Soseaua Doina Pop, Simleu Silvaniei, 906275",0741 158 299,94:03:a1:d7:5f:46,221.206.122.132,RO08VTCB0081685389044354,2025-07-01 22:34:47,7343,415,68,571840,f5939627-cbbc-4439-b561-a1472402effc
Horia Ionescu,horiaionescu,horiaionescu@141.ro,1570121122028,1984-12-05,"Intrarea Aanei Nr. 192 Bl. 79  Sc. 90 Ap. 636, Orsova, 134860",0267 588 054,9f:11:25:a0:ec:26,125.181.199.197,RO10XOCW3720534270339984,2025-07-01 22:34:47,11518,998,92,1106355,bb36b63e-4596-49cf-add2-7aaf1d9266cf
Aleodor Pop,aleodorpop,aleodorpop@email.ro,3430621137262,1997-08-27,"Drumul Ababei, Targu Jiu, 784156",0743 148 293,8a:fe:84:c6:6e:a7,128.250.78.147,RO45ABMJ8634907183762403,2025-07-01 22:34:47,34667,412,432,30657,be94e318-775a-47de-8ee7-ebf8b9ea7d2e
Gheorghe Ababei,gheorgheababei,gheorgheababei@email.ro,7210213350031,1939-10-22,"Bulevardul Dinu Nr. 40 Bl. 48  Sc. 68 Ap. 305, Aiud, 153861",021 734 5597,e8:96:7f:59:f7:bf,24.235.250.169,RO81MHZJ5133034469701275,2025-07-01 22:34:47,31450,695,36,42584,0c6bf826-62b6-48ac-be33-c4e091062101
Aura Nistor,auranistor,auranistor@post.ro,8421129064323,1945-01-13,"Strada Luca Eftimie, Strehaia, 414643",0729 271 493,b8:7a:a5:45:ad:1f,118.43.158.153,RO03CNYI4477086033048210,2025-07-01 22:34:47,33796,824,135,976111,5b83fa46-6d65-4068-945e-5b1d4de059cf
Sandu Dinu,sandudinu,sandudinu@gmail.com,8600818053976,2008-08-13,"Aleea Albu Nr. 221 Bl. 74  Sc. 69 Ap. 999, Tulcea, 484904",0721 451 489,78:cb:11:ad:0c:0e,13.78.212.95,RO76XXCC1919998739210579,2025-07-01 22:34:47,33318,326,460,412185,9a105e39-106f-45bb-a36c-d1159612ad20
Florin Albu,florinalbu,florinalbu@acasa.ro,1780220035802,1916-01-04,"Drumul Melina Eftimie Nr. 132 Bl. 39  Sc. 63 Ap. 891, Campia Turzii, 351961",0746 348 443,53:37:d3:a3:e1:75,63.215.169.200,RO70FUCE1004012779405438,2025-07-01 22:34:47,11050,606,596,807613,638a3d99-d259-45a1-a24f-041c0a15acbd
Gabriela Pop,gabrielapop,gabrielapop@gmail.com,2060226103294,1951-12-04,"Strada Popa Nr. 843 Bl. 31  Sc. 43 Ap. 612, Ineu, 644693",0764 108 997,22:4b:25:a5:e3:a9,169.55.190.148,RO83HUTK0289231291991344,2025-07-01 22:34:47,33324,993,380,1831973,68436df5-c775-4e19-98f4-e4f585708915
Mihnea Ene,mihneaene,mihneaene@kappa.ro,5011108424530,1910-07-26,"Strada Ionescu Nr. 60, Iasi, 910299",0748 173 744,27:ba:3a:44:ec:ce,191.247.197.170,RO06VTKR8035157740542175,2025-07-01 22:34:47,9252,566,630,773719,5bfbe6e7-4306-44ba-978e-3c4891e150d7
Marcela Voinea,marcelavoinea,marcelavoinea@kappa.ro,1070820408985,2015-08-22,"Intrarea Stoica Nr. 704, Homocea, 443838",0246 326 131,11:2b:f4:b4:e6:3a,187.62.242.149,RO65PNYF0287910546507625,2025-07-01 22:34:47,2888,848,497,1649302,8310721f-19eb-44d0-a016-ad428d9d4727
Ghenadie Eftimie,ghenadieeftimie,ghenadieeftimie@zzup.ro,4060509446075,1957-06-27,"Soseaua Popa Nr. 91 Bl. 18  Sc. 96 Ap. 652, Balotesti, 687981",0758 824 932,f2:f4:a6:c7:63:5b,179.124.225.11,RO23KAIK7220078928153181,2025-07-01 22:34:47,4037,647,101,696799,924c1140-d01b-4018-8531-71a394976c30
Ligia Stoica,ligiastoica,ligiastoica@post.ro,3181201014054,1982-12-25,"Intrarea Magdalena Oprea Nr. 93, Caransebes, 922413",0727 244 114,0e:08:ab:aa:5b:af,38.190.174.204,RO70GPBZ8153529841988745,2025-07-01 22:34:47,34193,127,757,1959107,7406623d-6a26-4c2b-bf68-4461efeaf7cf
Savina Stan,savinastan,savinastan@141.ro,2121120127831,1963-07-22,"Strada Varvara Suciu, Corund, 443838",0761 429 898,bd:bc:19:bb:34:d3,118.100.42.205,RO28MVOC5738045195691713,2025-07-01 22:34:47,30429,777,264,885046,c1e2518c-bc31-4245-8008-5c1abac68eb3
Severin Niță,severinniță,severinniță@gmail.com,5090514224658,1960-07-27,"Bulevardul Ene Nr. 796, Paunesti, 156443",0730 184 687,c5:94:b6:b2:be:80,31.35.240.109,RO52NRBX1627704429211442,2025-07-01 22:34:47,11951,931,687,1109480,384951e3-13a8-4da8-b397-f66410dd1ba7
Nora Oprea,noraoprea,noraoprea@zzup.ro,6850417103993,1978-01-10,"Aleea Paulina Dumitrescu Nr. 379, Curtea de Arges, 165571",0733 349 172,53:20:ae:af:5f:95,197.230.218.44,RO94UEBO1708024992085131,2025-07-01 22:34:47,1316,767,393,1695315,2d548458-297b-41e9-b940-29a417c99787
Nicoară Ioniță,nicoarăioniță,nicoarăioniță@post.ro,3651030118623,1956-04-26,"Strada Mocanu Nr. 941 Bl. 95  Sc. 38 Ap. 913, Botosani, 258742",0765 759 967,d9:4b:75:1c:b8:aa,9.106.223.74,RO88CPYI0839857456676381,2025-07-01 22:34:47,13268,328,395,1622664,03d2cc98-c9e2-4945-8af2-845496e074f9
Vasilică Popescu,vasilicăpopescu,vasilicăpopescu@email.ro,4971230262863,1964-07-01,"Strada Mazilescu Nr. 13, Siret, 958679",0231 965 855,84:af:e0:fa:15:d6,54.244.28.162,RO18MPSU8872275398911089,2025-07-01 22:34:47,32839,83,146,30154,5d99ba90-73f2-4928-9362-77e08d8b1d8c
Iolanda Cristea,iolandacristea,iolandacristea@acasa.ro,3631203123317,1958-06-15,"Bulevardul Popescu, Fetesti-Gara, 406813",0237 702 338,71:95:25:77:68:f1,131.22.206.148,RO74HMOK0972936340160196,2025-07-01 22:34:47,28210,382,510,191811,637dc3a3-eb9c-45d3-a906-0ffbc8037b21
Iris Nemeș,irisnemeș,irisnemeș@141.ro,7800618134189,1992-04-03,"Bulevardul Vincențiu Suciu, Petrila, 572257",0256 401 378,be:00:52:89:28:bd,128.26.228.126,RO95UHTS8625600217636173,2025-07-01 22:34:47,32097,232,176,451972,f733a844-1fd4-4e66-8d75-3ef822af6f4c
Ionică Oprea,ionicăoprea,ionicăoprea@zzup.ro,3011005164995,1911-09-21,"Intrarea Irina Toma Nr. 791 Bl. 73  Sc. 98 Ap. 852, Dabuleni, 524094",0246 508 802,41:6c:cb:95:46:05,131.134.173.51,RO07TTJG1485756451082109,2025-07-01 22:34:47,16600,954,268,1849326,a9c11beb-075f-40a0-9d14-a40453e3d90e
Aurelian Diaconescu,aureliandiaconescu,aureliandiaconescu@zzup.ro,7920204253241,1912-05-25,"Drumul Ardelean Nr. 900, Dancu, 848874",0754 696 270,88:df:ea:6d:99:22,176.123.236.180,RO29LVSB9158040538967041,2025-07-01 22:34:47,25930,757,158,1215677,0583990b-a4a2-4439-9772-a00d7d50af8c
Răducu Stoica,răducustoica,răducustoica@post.ro,6980506235463,1918-09-13,"Strada Barbu Nr. 82, Targu Frumos, 889321",0239 570 079,cf:99:ee:4d:2c:9d,91.229.234.150,RO36LDKY8413463568493612,2025-07-01 22:34:47,24137,234,19,487056,3e32ee9c-d3b5-43ce-8931-68a022bd5753
Betina Popa,betinapopa,betinapopa@zzup.ro,6140617085696,1939-02-13,"Bulevardul Sandu Dumitrescu, Savinesti, 779512",0235 191 967,61:43:a7:c8:92:e9,55.229.134.30,RO66BXCT2945355977208729,2025-07-01 22:34:47,25722,257,35,371183,73e02360-5e2a-474c-860d-f1b025ae96ed
Aura Dochioiu,auradochioiu,auradochioiu@141.ro,2510705106498,2020-10-03,"Bulevardul Eric Diaconu, Giurgiu, 485750",0730 993 233,71:49:f5:76:be:96,184.163.32.140,RO76KEXR4051010080384749,2025-07-01 22:34:47,27690,842,212,232402,167bd99d-44f7-48a3-ae15-7b4249e74deb
Maximilian Mocanu,maximilianmocanu,maximilianmocanu@post.ro,7190617079445,2020-04-18,"Bulevardul Nemeș Nr. 500, Onesti, 774643",0262 880 444,2a:21:24:78:4e:3b,85.18.77.123,RO98LZEO1340351381334340,2025-07-01 22:34:47,27786,131,708,37141,7678220b-1969-4b5e-be17-c4f1ef9a8002
Anton Dochioiu,antondochioiu,antondochioiu@kappa.ro,1240514271194,1991-08-01,"Bulevardul Pușcașu Nr. 984, Pantelimon, 193524",0742 286 448,f9:05:34:2f:17:83,196.91.252.82,RO45ONOY5063743061951951,2025-07-01 22:34:47,8692,637,345,1645235,816d6a16-07ae-48b2-ad51-2e5ca8b339af
Viorica Dochioiu,vioricadochioiu,vioricadochioiu@kappa.ro,6250627337566,1992-02-25,"Drumul Ioniță Nr. 613 Bl. 23  Sc. 88 Ap. 550, Rasnov Romacril, 988269",0767 902 694,5d:48:a4:18:f1:d7,32.114.155.244,RO76MDGD8844054498277020,2025-07-01 22:34:47,34255,266,121,1758770,77c361ae-d0b8-461e-a5d2-72d2c380b8e8
Fabiana Nemeș,fabiananemeș,fabiananemeș@zzup.ro,5400409388203,2019-02-06,"Bulevardul Consuela Preda Nr. 437 Bl. 98  Sc. 31 Ap. 616, Raducaneni, 313001",0769 700 648,b0:4f:f9:fa:22:03,151.33.68.79,RO64XOAY4015828517037991,2025-07-01 22:34:47,5295,456,312,786402,7216b48c-5308-4acc-b554-301b107c1ee9
Lucia Tudor,luciatudor,luciatudor@email.ro,6131216030549,2007-09-22,"Bulevardul Olimpiu Popescu, Radauti, 355088",0767 700 408,16:27:01:5a:56:83,37.176.173.150,RO02JNNA0417177212473133,2025-07-01 22:34:47,736,877,628,811428,a7342d90-cd08-44f2-a3d7-eced925bc637
Ramona Nemeș,ramonanemeș,ramonanemeș@email.ro,1071122229844,1937-07-02,"Bulevardul Ionică Manole, Toflea, 955444",0734 731 226,c1:b5:39:48:21:ae,130.143.200.178,RO77HVLI2982473856062544,2025-07-01 22:34:47,5796,109,450,1530213,42e95707-1250-4696-85ce-6ee143697760
Livia Dinu,liviadinu,liviadinu@acasa.ro,5460302409021,1919-10-01,"Aleea Stănescu Nr. 81 Bl. 87  Sc. 83 Ap. 924, Gheorgheni, 590369",0263 703 950,3b:37:ce:b6:f7:25,14.66.250.10,RO37AWGJ6890099551417950,2025-07-01 22:34:47,10692,523,529,11772,117393a0-ab9c-4f8a-8309-7cd556cf662d
Simona Barbu,simonabarbu,simonabarbu@email.ro,3390907457032,1992-03-01,"Strada Diaconu Nr. 16, Odobesti, 563334",0243 813 020,07:9e:05:8f:8e:85,194.26.99.163,RO05QIFD9399475855158319,2025-07-01 22:34:47,7457,648,663,1997822,0c35e1f5-4bdf-4675-9ec8-864805858d72
Clara Mazilescu,claramazilescu,claramazilescu@acasa.ro,7721212157365,1942-12-23,"Intrarea Pușcașu, 1 Decembrie, 205294",0233 890 926,cd:64:e5:07:47:0e,137.190.148.208,RO15YZUQ5316299214023680,2025-07-01 22:34:47,31396,38,185,671543,326a38ce-54ef-4b34-bb19-9a545647636b
Vasilica Eftimie,vasilicaeftimie,vasilicaeftimie@post.ro,2740822118425,2023-04-22,"Soseaua Oprea, Beius, 588878",0748 127 668,6f:5f:a2:57:5b:3b,187.114.64.196,RO61KADF6628759915436499,2025-07-01 22:34:47,1311,425,126,186864,caf4463c-4a79-4113-b499-7db1b3516a4f
Olivia Niță,olivianiță,olivianiță@kappa.ro,1310219218454,1994-09-02,"Aleea Oprea Nr. 95, Tecuci, 840615",0263 973 250,9a:54:5b:75:43:83,188.150.211.215,RO86YOMA9082529636883231,2025-07-01 22:34:47,34548,230,664,918032,a84ce6dc-1ddd-4086-a8c5-1ecc7b554336
Ligia Oprea,ligiaoprea,ligiaoprea@acasa.ro,7311113145327,1995-09-12,"Intrarea Voinea Nr. 15 Bl. 93  Sc. 70 Ap. 107, Comanesti, 638123",0735 107 921,c2:c7:57:04:30:b0,13.19.50.20,RO96PDBM9487824446279977,2025-07-01 22:34:47,20065,328,12,103269,babf23be-a58c-425c-9c86-6e6561e153f3
Dacian Stoica,dacianstoica,dacianstoica@acasa.ro,3610231035464,1945-09-01,"Soseaua Gheorghiu, Bumbesti-Jiu, 778401",0742 159 381,cb:e8:5e:ec:58:44,119.153.152.81,RO06EGDY9273739474301422,2025-07-01 22:34:47,527,515,350,1153012,62f5c4cd-8097-4d2a-8368-0a907b6899ff
Teea Gheorghiu,teeagheorghiu,teeagheorghiu@141.ro,8770905153181,1987-07-29,"Strada Floarea Diaconescu Nr. 68, Tecuci, 826622",0740 828 839,05:91:05:32:1f:74,112.77.49.215,RO91IVQI5551873096276106,2025-07-01 22:34:47,22106,834,193,579556,a2450725-09b4-45c4-8ea7-325402ebe07e
Ion Preda,ionpreda,ionpreda@post.ro,8951027200994,1962-12-13,"Drumul Lică Gheorghiu, Toflea, 716141",0248 832 940,63:9a:27:a8:aa:90,73.58.161.151,RO62TOGJ5212291221992286,2025-07-01 22:34:47,5522,332,323,1003969,cb45499c-a142-4452-ae45-3ca327c1e4d4
Norman Cristea,normancristea,normancristea@gmail.com,8590802248614,1944-08-05,"Aleea Ene, Mihail Kogalniceanu, 798220",0252 022 455,9f:c6:ed:d8:5c:de,197.17.217.33,RO29FWEQ3444118580922167,2025-07-01 22:34:47,35360,866,377,1351191,8477869a-0181-4c27-8422-08e5a3cb4009
Olga Nistor,olganistor,olganistor@zzup.ro,1980731443571,1993-11-19,"Strada Ionel Stănescu, Valea Caselor (Dragasani), 905993",0238 810 537,0f:d6:05:1d:ca:c1,64.67.131.194,RO27PXVT1833174316526872,2025-07-01 22:34:47,22637,975,139,1224538,34f19e8e-0e79-42b4-b808-c248ce3e7aed
Lorin Ioniță,lorinioniță,lorinioniță@141.ro,2050822275536,1998-05-13,"Drumul Draga Ababei, Teius, 911550",0741 873 888,8d:5b:54:83:9a:a7,131.169.223.175,RO18VJPV2131343534815191,2025-07-01 22:34:47,22959,897,744,1469788,134a1750-d6ce-4806-96ba-356f986183b5
Laura Preda,laurapreda,laurapreda@141.ro,7210303234871,1943-03-10,"Strada Edgar Albu Nr. 43, Simeria, 207045",0738 586 214,ca:29:f5:9c:b5:c6,43.149.171.172,RO31RYHL9371906325033850,2025-07-01 22:34:47,24510,2,634,1740491,8341412b-7d25-426c-9645-b1c35a3aaa6f
Adi Dima,adidima,adidima@post.ro,1600317327728,1977-12-08,"Soseaua Cristea, Galati, 817138",0741 413 184,d4:a3:69:da:bf:25,151.81.129.41,RO86YEHD2931572251117601,2025-07-01 22:34:47,11658,939,306,1697265,506738c1-a261-44eb-9f00-534deb516221
Celia Dinu,celiadinu,celiadinu@kappa.ro,1071003158610,1909-07-13,"Aleea Dochioiu Nr. 98, Tunari, 685697",0254 133 096,f4:76:03:13:88:30,193.84.1.181,RO87ASKK2124997579855669,2025-07-01 22:34:47,12573,338,98,1639308,cdc8b221-5a66-478a-b762-f878325ab14e
Rafila Ababei,rafilaababei,rafilaababei@acasa.ro,4140827127075,1928-11-26,"Soseaua Preda Nr. 34 Bl. 22  Sc. 20 Ap. 514, Zarnesti, 935328",0235 399 132,2a:b8:79:1b:b8:39,207.120.114.139,RO05EDNQ5276355235269685,2025-07-01 22:34:47,34804,940,376,596710,82b70953-8df5-4923-860c-01286cf21d93
Oana Oprea,oanaoprea,oanaoprea@gmail.com,6910709465948,1977-06-09,"Intrarea Stănescu Nr. 277, Tuzla, 815799",0239 929 449,05:30:08:d5:76:fe,200.181.30.146,RO58WPWY0094983023730352,2025-07-01 22:34:47,14953,40,738,1733730,63e70dd1-9c74-4cee-aba0-5b3a1ddd6f98
